id,date,weight,primary,comments
32794,5/25/2017,161.6,TRUE,
32816,5/26/2017,160.6,TRUE,
32822,5/27/2017,160,TRUE,
32852,5/28/2017,161.4,TRUE,
32861,5/29/2017,160.2,TRUE,
32884,5/30/2017,160.8,TRUE,
32902,5/31/2017,161.4,TRUE,
32928,6/1/2017,162,TRUE,
32934,6/3/2017,162.4,TRUE,
32937,6/4/2017,163.4,TRUE,
32957,6/5/2017,160.2,TRUE,
32987,6/7/2017,160,TRUE,
32993,6/8/2017,160.6,TRUE,
33006,6/9/2017,160.4,TRUE,
33029,6/10/2017,160.6,TRUE,
33055,6/11/2017,161.6,TRUE,
33061,6/12/2017,161,TRUE,
33074,6/13/2017,160.2,TRUE,
33075,6/14/2017,161.6,TRUE,
33090,6/16/2017,158.8,TRUE,
33097,6/19/2017,160.4,TRUE,
33121,6/20/2017,159.8,TRUE,
33125,6/21/2017,160.6,TRUE,
33156,6/22/2017,159.6,TRUE,
33172,6/23/2017,160.4,TRUE,
33183,6/24/2017,160,TRUE,
33197,6/25/2017,161.6,TRUE,
33207,6/27/2017,160.8,TRUE,
33224,6/28/2017,160.2,TRUE,
33246,6/29/2017,160,TRUE,
33268,6/30/2017,160,TRUE,
33273,7/1/2017,160.4,TRUE,
33286,7/2/2017,160.4,TRUE,
33304,7/3/2017,160,TRUE,
33305,7/4/2017,158.6,TRUE,
33307,7/5/2017,160.2,TRUE,
33319,7/6/2017,158.8,TRUE,
33332,7/7/2017,159.6,TRUE,
33361,7/8/2017,159,TRUE,
33373,7/9/2017,160.2,TRUE,
33399,7/10/2017,160.2,TRUE,
33408,7/11/2017,162.4,TRUE,
33433,7/12/2017,162.2,TRUE,
33442,7/13/2017,162.2,TRUE,
33463,7/14/2017,160.2,TRUE,
33476,7/15/2017,160.2,TRUE,
33504,7/16/2017,161.4,TRUE,
33507,7/17/2017,160.8,TRUE,
33529,7/18/2017,161.4,TRUE,
33560,7/19/2017,160.8,TRUE,
33579,7/20/2017,160.8,TRUE,
33584,7/21/2017,160.4,TRUE,
33607,7/22/2017,160.6,TRUE,
33637,7/23/2017,160.2,TRUE,
33653,7/24/2017,160.4,TRUE,
33674,7/25/2017,160.6,TRUE,
33675,7/26/2017,161.6,TRUE,
33697,7/27/2017,160.6,TRUE,
33700,7/28/2017,160.2,TRUE,
33717,7/29/2017,161.6,TRUE,
33746,7/30/2017,163.2,TRUE,
33776,7/31/2017,163.2,TRUE,
33800,8/1/2017,162.6,TRUE,
33823,8/2/2017,160.6,TRUE,
33853,8/3/2017,160.4,TRUE,
33863,8/4/2017,160.2,TRUE,
33881,8/5/2017,161,TRUE,
33891,8/7/2017,159.6,TRUE,
33918,8/8/2017,161.6,TRUE,
33931,8/10/2017,161.8,TRUE,
33962,8/11/2017,161.4,TRUE,
33978,8/12/2017,162,TRUE,
33990,8/13/2017,160.4,TRUE,
33999,8/14/2017,160.6,TRUE,
34010,8/15/2017,160.4,TRUE,
34034,8/16/2017,159.8,TRUE,
34060,8/17/2017,160.2,TRUE,
34088,8/18/2017,160.8,TRUE,
