"id","date","weight","comments"
"1771478181748","2014-09-29","158.4","t"
"1771478182085","2014-09-30","159.2","t"
"1771478182737","2014-10-01","158.4","t"
"1771478183674","2014-10-03","155.4","t"
"1771478184535","2014-10-04","155.4","t"
"1771478184590","2014-10-05","157","t"
"1771478185619","2014-10-06","156","t"
"1771478186578","2014-10-07","158","t"
"1771478186922","2014-10-08","158","t"
"1771478187216","2014-10-09","157.8","t"
"1771478188098","2014-10-10","157.4","t"
"1771478188844","2014-10-11","154.8","t"
"1771478189026","2014-10-12","155.8","t"
"1771478190245","2014-10-13","156.6","t"
"1771478191244","2014-10-14","155.8","t"
"1771478192346","2014-10-15","156.8","t"
"1771478193161","2014-10-16","154","t"
"1771478193745","2014-10-17","156.4","t"
"1771478194866","2014-10-18","155.8","t"
"1771478194922","2014-10-19","156","t"
"1771478195892","2014-10-20","156.6","t"
"1771478196383","2014-10-21","157","t"
"1771478196759","2014-10-22","157.6","t"
"1771478197064","2014-10-23","157.6","t"
"1771478197903","2014-10-24","158.4","t"
"1771478198018","2014-10-25","158.4","t"
"1771478199007","2014-10-26","156","t"
"1771478199438","2014-10-27","156","t"
"1771478199639","2014-10-28","155.8","t"
"1771478199920","2014-10-29","156.6","t"
"1771478201051","2014-10-30","155.8","t"
"1771478201830","2014-10-31","157.4","t"
"1771478201879","2014-11-01","155.2","t"
"1771478202166","2014-11-02","157.4","t"
"1771478202508","2014-11-03","155.4","t"
"1771478202989","2014-11-04","157.4","t"
"1771478203704","2014-11-05","157.4","t"
"1771478204506","2014-11-06","157","t"
"1771478205555","2014-11-07","158","t"
"1771478205999","2014-11-08","157.2","t"
"1771478207153","2014-11-09","156.6","t"
"1771478208062","2014-11-10","155.8","t"
"1771478208967","2014-11-11","157","t"
"1771478209448","2014-11-12","157.2","t"
"1771478210661","2014-11-13","156.2","t"
"1771478211214","2014-11-14","158.4","t"
"1771478211870","2014-11-15","157.2","t"
"1771478212732","2014-11-16","157.2","t"
"1771478213519","2014-11-17","158.4","t"
"1771478214460","2014-11-19","158","t"
"1771478214714","2014-11-20","156","t"
"1771478215282","2014-11-21","156.2","t"
"1771478216009","2014-11-22","155.2","t"
"1771478216242","2014-11-23","157.4","t"
"1771478217205","2014-11-24","155.4","t"
"1771478217947","2014-11-25","156.2","t"
"1771478218635","2014-11-26","157.2","t"
"1771478219753","2014-11-27","156.2","t"
"1771478220346","2014-11-28","156.2","t"
"1771478221580","2014-11-29","157.6","t"
"1771478222039","2014-11-30","156.4","t"
"1771478222154","2014-12-01","158","t"
"1771478222431","2014-12-02","158","t"
"1771478222545","2014-12-03","158.4","t"
"1771478222816","2014-12-04","158.6","t"
"1771478223642","2014-12-05","157.4","t"
"1771478223988","2014-12-06","157.2","t"
"1771478224164","2014-12-07","157.2","t"
"1771478224272","2014-12-09","156.2","t"
"1771478224807","2014-12-10","158.6","t"
"1771478225027","2014-12-11","158.6","t"
"1771478225985","2014-12-12","157.6","t"
"1771478226491","2014-12-13","155.4","t"
"1771478226580","2014-12-14","156","t"
"1771478227696","2014-12-15","154.4","t"
"1771478227986","2014-12-16","156.2","t"
"1771478229177","2014-12-18","155.2","t"
"1771478230037","2014-12-19","157.6","t"
"1771478230622","2014-12-20","154.2","t"
"1771478231714","2014-12-21","154.8","t"
"1771478232013","2014-12-22","154.4","t"
"1771478232708","2014-12-23","157","t"
"1771478233476","2014-12-24","156.4","t"
"1771478233781","2014-12-25","159.4","t"
"1771478234991","2014-12-26","159","t"
"1771478235317","2014-12-28","156.8","t"
"1771478235900","2014-12-29","157.8","t"
"1771478236193","2014-12-30","154.4","t"
"1771478236537","2014-12-31","157.6","t"
"1771478237097","2015-01-01","157.4","t"
"1771478237481","2015-01-02","156.6","t"
"1771478237959","2015-01-03","156.4","t"
"1771478238150","2015-01-04","156","t"
"1771478238256","2015-01-06","158.2","t"
"1771478238870","2015-01-07","156.6","t"
"1771478239238","2015-01-08","157.2","t"
"1771478240020","2015-01-09","159.2","t"
"1771478240398","2015-01-10","158.4","t"
"1771478241437","2015-01-11","156","t"
"1771478242560","2015-01-12","157","t"
"1771478243334","2015-01-13","157.6","t"
"1771478244293","2015-01-14","157.6","t"
"1771478245230","2015-01-15","156.4","t"
"1771478245277","2015-01-16","157.2","t"
"1771478245483","2015-01-17","157.2","t"
"1771478246447","2015-01-19","157","t"
"1771478247042","2015-01-20","156.8","t"
"1771478247830","2015-01-21","158","t"
"1771478248422","2015-01-22","158.2","t"
"1771478249208","2015-01-23","155.4","t"
"1771478249863","2015-01-24","155.8","t"
"1771478250850","2015-01-25","155.8","t"
"1771478251596","2015-01-26","157.2","t"
"1771478252532","2015-01-27","156.2","t"
"1771478253633","2015-01-29","158.2","t"
"1771478254017","2015-01-30","157.6","t"
"1771478254831","2015-01-30","157.6","t"
"1771478256044","2015-01-31","156.2","t"
"1771478256115","2015-02-01","155.2","t"
"1771478256398","2015-02-02","155.4","t"
"1771478256927","2015-02-03","154.2","t"
"1771478258130","2015-02-04","156.4","t"
"1771478258389","2015-02-05","156.8","t"
"1771478258742","2015-02-06","154.4","t"
"1771478259792","2015-02-07","154","t"
"1771478259987","2015-02-08","154.4","t"
"1771478260477","2015-02-09","153.2","t"
"1771478261332","2015-02-10","155.8","t"
"1771478261741","2015-02-11","155.4","t"
"1771478262934","2015-02-12","155","t"
"1771478263248","2015-02-13","154.2","t"
"1771478263427","2015-02-14","153.8","t"
"1771478263732","2015-02-15","155.4","t"
"1771478264811","2015-02-16","153.8","t"
"1771478265914","2015-02-17","154.4","t"
"1771478266124","2015-02-18","155.2","t"
"1771478267284","2015-02-19","155.2","t"
"1771478267711","2015-02-20","154.8","t"
"1771478268514","2015-02-21","155.4","t"
"1771478269098","2015-02-22","155","t"
"1771478269404","2015-02-23","157.2","t"
"1771478270033","2015-02-25","157.2","t"
"1771478271181","2015-02-26","157.4","t"
"1771478271793","2015-02-28","153.8","t"
"1771478272108","2015-03-01","155.2","t"
"1771478272575","2015-03-02","156.6","t"
"1771478273088","2015-03-03","159.2","t"
"1771478273923","2015-03-04","158","t"
"1771478274822","2015-03-05","158","t"
"1771478275549","2015-03-06","157","t"
"1771478276416","2015-03-07","156.4","t"
"1771478277122","2015-03-09","157.2","t"
"1771478277250","2015-03-10","158","t"
"1771478277562","2015-03-11","159.2","t"
"1771478277637","2015-03-12","157.4","t"
"1771478278826","2015-03-13","156.2","t"
"1771478279401","2015-03-14","157.4","t"
"1771478279874","2015-03-16","157.2","t"
"1771478280144","2015-03-17","157.2","t"
"1771478280771","2015-03-18","157.4","t"
"1771478281693","2015-03-19","157.6","t"
"1771478282160","2015-03-20","154.4","t"
"1771478282702","2015-03-21","153.8","t"
"1771478283552","2015-03-22","156.6","t"
"1771478284457","2015-03-23","156","t"
"1771478284905","2015-03-24","157","t"
"1771478286124","2015-03-25","157","t"
"1771478286710","2015-03-26","156.2","t"
"1771478287768","2015-03-27","154.4","t"
"1771478288764","2015-03-28","154.8","t"
"1771478289792","2015-03-29","154.4","t"
"1771478290803","2015-03-30","155","t"
"1771478291430","2015-03-31","155","t"
"1771478292544","2015-04-01","156","t"
"1771478293667","2015-04-02","156","t"
"1771478293864","2015-04-03","154.8","t"
"1771478295094","2015-04-04","155.6","t"
"1771478295641","2015-04-05","156.6","t"
"1771478296799","2015-04-06","154.6","t"
"1771478297527","2015-04-07","158","t"
"1771478298278","2015-04-08","157.4","t"
"1771478298365","2015-04-10","156.6","t"
"1771478298565","2015-04-11","155.6","t"
"1771478299448","2015-04-12","157.1","t"
"1771478299649","2015-04-13","157.1","t"
"1771478300337","2015-04-14","159","t"
"1771478300872","2015-04-15","157.4","t"
"1771478301235","2015-04-16","157.4","t"
"1771478301528","2015-04-17","156.4","t"
"1771478302716","2015-04-18","156.4","t"
"1771478303619","2015-04-22","157.4","t"
"1771478303832","2015-04-25","156.2","t"
"1771478304822","2015-04-26","157.4","t"
"1771478306048","2015-04-27","154.8","t"
"1771478307034","2015-04-28","155.8","t"
"1771478307080","2015-05-06","161","t"
"1771478307486","2015-05-07","160","t"
"1771478307912","2015-05-08","158.2","t"
"1771478308112","2015-05-09","157.4","t"
"1771478308309","2015-05-10","160.6","t"
